Name,Description,Date,Amount
البيئة والمياه والزراعة,تطبيق اكتشاف وإدارة الثغرات الأمنية Vulnerability Management ,2023-12-19,565650.5
وزارة الشؤون البلدية والقروية,توريد وعمل دهانات الأرصفة لبلدية السعيرة والقرى التابعة لها ,2023-11-08,817362.5
وزارة الشؤون البلدية والقروية,توريد وتركيب انترلوك وبلدورات لبلدية السعيرة والقرى التابعة لها,2023-11-08,999925.0
المعهد الوطني للتطوير المهني التعليمي,مشروع مسك السجلات وإعداد الأرصدة الافتتاحية للمعهد الوطني للتطوير المهني التعليمي,2024-01-18,563500.0
المعهد الوطني للتطوير المهني التعليمي,مشروع مسك السجلات وإعداد الأرصدة الافتتاحية للمعهد الوطني للتطوير المهني التعليمي,2024-01-18,563500.0
المعهد الوطني للتطوير المهني التعليمي,مشروع مسك السجلات وإعداد الأرصدة الافتتاحية للمعهد الوطني للتطوير المهني التعليمي,2024-01-18,563500.0
وزارة البيئة والمياه والزراعة,توريد قطع غيار المصدات الأرضية وأذرعة الدخول والخروج بفروع الهيئة,2023-12-03,383410.0
وزارة البيئة والمياه والزراعة,توريد قطع غيار المصدات الأرضية وأذرعة الدخول والخروج بفروع الهيئة,2023-12-03,383410.0
وزارة البيئة والمياه والزراعة,توريد قطع غيار المصدات الأرضية وأذرعة الدخول والخروج بفروع الهيئة,2023-12-03,383410.0
وزارة البيئة والمياه والزراعة,توريد وتطبيق نظام الحضور والانصراف الذكي بالإدارة العامة,2023-12-03,699999.37
وزارة البيئة والمياه والزراعة,توريد وتطبيق نظام الحضور والانصراف الذكي بالإدارة العامة,2023-12-03,699999.37
وزارة التعليم,تأمين كراسي طلاب وطالبات للكليات وعمادة السنة الاولى المشتركة بجامعة المجمعة,2023-11-01,322000.0
وزارة التعليم,تأمين كراسي طلاب وطالبات للكليات وعمادة السنة الاولى المشتركة بجامعة المجمعة,2023-11-01,322000.0
صندوق التنمية العقارية,مشروع  توريد وتفعيل رخص اشتراك واستخدام منصة رقمية مالية لمراقبة وتحليل بيانات السوق وإجراء الصفقات,2023-11-22,2198800.0
وزارة التعليم,توريد وتركيب كاميرات مراقبة امنية لبعض المباني الإدارية بإدارة التعليم بمحافظة عنيزة,,0.0
البيئة والمياه والزراعة,تركيب كاميرات مراقبة داخلية وخارجية بمرافق المركز الوطني لأبحاث وتطوير لزراعة المستدامة(استدامة),2023-12-19,641865.6
